altitude_km,elevation_deg,TBS_bits,payload_type,RTT_ms,path_loss_dB,SNR_dB,n_repetitions,N_TBPHC,TB_index,direction,use_bundling,n_bundle,n_DD2A,n_UG2D,SUF_fixed,SUF_variable,throughput_fixed_bps,throughput_variable_bps,throughput_gain_percent,N_HARQ_required
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,1,downlink,0,1,6,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,2,downlink,0,1,6,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,3,downlink,0,1,6,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,4,downlink,0,1,6,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,5,downlink,0,1,6,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,6,downlink,0,1,6,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,1,downlink,1,2,6,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,2,downlink,1,2,5,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,3,downlink,1,2,5,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,4,downlink,1,2,4,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,5,downlink,1,2,4,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,6,downlink,1,2,3,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,1,downlink,1,4,6,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,2,downlink,1,4,5,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,3,downlink,1,4,4,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,4,downlink,1,4,3,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,5,downlink,1,4,3,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,6,downlink,1,4,2,6,0.125,0.375,18000,54000,200,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,1,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,2,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,3,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,4,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,5,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,6,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,7,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,8,uplink,0,1,8,8,0.166666667,0.444444444,24000,64000,166.6666667,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,1,downlink,0,1,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,2,downlink,0,1,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,3,downlink,0,1,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,4,downlink,0,1,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,5,downlink,0,1,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,6,downlink,0,1,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,7,downlink,0,1,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,8,downlink,0,1,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,1,downlink,1,2,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,2,downlink,1,2,7,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,3,downlink,1,2,7,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,4,downlink,1,2,6,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,5,downlink,1,2,6,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,6,downlink,1,2,5,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,7,downlink,1,2,5,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,8,downlink,1,2,4,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,1,downlink,1,4,8,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,2,downlink,1,4,7,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,3,downlink,1,4,6,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,4,downlink,1,4,5,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,5,downlink,1,4,5,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,6,downlink,1,4,4,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,7,downlink,1,4,3,8,0.125,0.4,18000,57600,220,18
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,8,8,downlink,1,4,2,8,0.125,0.4,18000,57600,220,18
